"rgn_id","year","sust_coeff","species","region"
5,2012,0.372222222,"Blue shrimp","Melanesia"
5,2012,0.757142857,"Pacific cupped oyster","Melanesia"
6,2012,0.372222222,"Blue shrimp","Melanesia"
6,2012,0.374509804,"Whiteleg shrimp","Melanesia"
7,2012,0.366666667,"Giant tiger prawn","Melanesia"
8,2012,0.811764706,"Bear paw clam","Micronesia"
8,2012,0.811764706,"Crocus giant clam","Micronesia"
8,2012,0.811764706,"Elongate giant clam","Micronesia"
8,2012,0.811764706,"Fluted giant clam","Micronesia"
8,2012,0.811764706,"Giant clam","Micronesia"
8,2012,0.414285714,"Milkfish","Micronesia"
8,2012,0.811764706,"Smooth giant clam","Micronesia"
9,2012,0.766666667,"Clams, etc. nei","Micronesia"
9,2012,0.414285714,"Milkfish","Micronesia"
10,2012,0.414285714,"Milkfish","Micronesia"
13,2012,0.275,"Banana prawn","Micronesia"
13,2012,0.414285714,"Milkfish","Micronesia"
13,2012,0.561111111,"Mullets nei","Micronesia"
13,2012,0.374509804,"Whiteleg shrimp","Micronesia"
14,2012,0.43,"Abalones nei","Eastern Asia"
14,2012,0.43,"Abalones nei","Eastern Asia"
14,2012,0.444010417,"Amberjacks nei","Eastern Asia"
14,2012,0.444010417,"Amberjacks nei","Eastern Asia"
14,2012,0.17,"Barramundi(=Giant seaperch)","Eastern Asia"
14,2012,0.23,"Barramundi(=Giant seaperch)","Eastern Asia"
14,2012,0.444010417,"Blackhead seabream","Eastern Asia"
14,2012,0.444010417,"Blackhead seabream","Eastern Asia"
14,2012,0.67,"Blood cockle","Eastern Asia"
14,2012,0.416666667,"Blue swimming crab","Eastern Asia"
14,2012,0.766666667,"Clams, etc. nei","Eastern Asia"
14,2012,0.766666667,"Clams, etc. nei","Eastern Asia"
14,2012,0.444010417,"Cobia","Eastern Asia"
14,2012,0.444010417,"Cobia","Eastern Asia"
14,2012,0.444010417,"Croakers, drums nei","Eastern Asia"
14,2012,0.37,"Flathead grey mullet","Eastern Asia"
14,2012,0.37,"Flathead grey mullet","Eastern Asia"
14,2012,0.444010417,"Fourfinger threadfin","Eastern Asia"
