"rgn_id","country","species","Taxon_code","year","tonnes","Taxon"
82,"Albania","European seabass","F",2006,87,"Fish"
82,"Albania","European seabass","F",2007,84,"Fish"
82,"Albania","European seabass","F",2008,142,"Fish"
82,"Albania","European seabass","F",2009,135,"Fish"
82,"Albania","European seabass","F",2010,135,"Fish"
82,"Albania","European seabass","F",2011,170,"Fish"
82,"Albania","European seabass","F",2012,170,"Fish"
82,"Albania","European seabass","F",2013,170,"Fish"
82,"Albania","European seabass","F",2014,129.4,"Fish"
82,"Albania","European seabass","F",2015,392,"Fish"
82,"Albania","European seabass","F",2016,200,"Fish"
82,"Albania","Gilthead seabream","F",2001,100,"Fish"
82,"Albania","Gilthead seabream","F",2002,200,"Fish"
82,"Albania","Gilthead seabream","F",2003,250,"Fish"
82,"Albania","Gilthead seabream","F",2004,400,"Fish"
82,"Albania","Gilthead seabream","F",2005,250,"Fish"
82,"Albania","Gilthead seabream","F",2006,370,"Fish"
82,"Albania","Gilthead seabream","F",2007,402,"Fish"
82,"Albania","Gilthead seabream","F",2008,343,"Fish"
82,"Albania","Gilthead seabream","F",2009,370,"Fish"
82,"Albania","Gilthead seabream","F",2010,467,"Fish"
82,"Albania","Gilthead seabream","F",2011,375,"Fish"
82,"Albania","Gilthead seabream","F",2012,492,"Fish"
82,"Albania","Gilthead seabream","F",2013,500,"Fish"
82,"Albania","Gilthead seabream","F",2014,464.8,"Fish"
82,"Albania","Gilthead seabream","F",2015,341,"Fish"
82,"Albania","Gilthead seabream","F",2016,200,"Fish"
82,"Albania","Kuruma prawn","SH",1997,10,"Crustacean"
82,"Albania","Kuruma prawn","SH",1998,8,"Crustacean"
82,"Albania","Kuruma prawn","SH",1999,5,"Crustacean"
82,"Albania","Kuruma prawn","SH",2000,2,"Crustacean"
82,"Albania","Kuruma prawn","SH",2001,14,"Crustacean"
82,"Albania","Kuruma prawn","SH",2002,0,"Crustacean"
82,"Albania","Kuruma prawn","SH",2003,0,"Crustacean"
82,"Albania","Kuruma prawn","SH",2004,0,"Crustacean"
82,"Albania","Kuruma prawn","SH",2005,0,"Crustacean"
82,"Albania","Kuruma prawn","SH",2006,0,"Crustacean"
82,"Albania","Kuruma prawn","SH",2007,3,"Crustacean"
82,"Albania","Kuruma prawn","SH",2008,7,"Crustacean"
82,"Albania","Kuruma prawn","SH",2009,8,"Crustacean"
82,"Albania","Kuruma prawn","SH",2010,8,"Crustacean"
82,"Albania","Kuruma prawn","SH",2011,0,"Crustacean"
82,"Albania","Kuruma prawn","SH",2012,0,"Crustacean"
82,"Albania","Kuruma prawn","SH",2013,0,"Crustacean"
82,"Albania","Kuruma prawn","SH",2014,0,"Crustacean"
82,"Albania","Kuruma prawn","SH",2015,0,"Crustacean"
82,"Albania","Kuruma prawn","SH",2016,0,"Crustacean"
82,"Albania","Mediterranean mussel","BI",1976,2,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",1977,10,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",1978,10,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",1979,50,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",1980,100,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",1981,200,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",1982,414,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",1983,842,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",1984,906,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",1985,902,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",1986,1752,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",1987,1808,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",1988,3107,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",1989,1840,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",1990,4443,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",1991,662,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",1992,281,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",1993,274,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",1994,293,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",1995,300,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",1996,250,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",1997,80,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",1998,100,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",1999,200,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",2000,200,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",2001,150,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",2002,300,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",2003,860,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",2004,800,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",2005,860,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",2006,1360,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",2007,1360,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",2008,950,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",2009,1250,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",2010,1410,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",2011,1300,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",2012,760,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",2013,800,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",2014,1500,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",2015,295,"Bivalve and Molluscs"
82,"Albania","Mediterranean mussel","BI",2016,300,"Bivalve and Molluscs"
84,"Algeria","Caramote prawn","SH",1984,0.1,"Crustacean"
84,"Algeria","Caramote prawn","SH",1985,1,"Crustacean"
84,"Algeria","Caramote prawn","SH",1986,1,"Crustacean"
84,"Algeria","Caramote prawn","SH",1987,2,"Crustacean"
84,"Algeria","Caramote prawn","SH",1988,2,"Crustacean"
84,"Algeria","Caramote prawn","SH",1989,0.1,"Crustacean"
84,"Algeria","Caramote prawn","SH",1990,0.1,"Crustacean"
84,"Algeria","Caramote prawn","SH",1991,0.1,"Crustacean"
84,"Algeria","Caramote prawn","SH",1992,0.1,"Crustacean"
84,"Algeria","Caramote prawn","SH",1993,0.1,"Crustacean"
84,"Algeria","Caramote prawn","SH",1994,0.1,"Crustacean"
84,"Algeria","Caramote prawn","SH",1995,0.1,"Crustacean"
84,"Algeria","Caramote prawn","SH",1996,0.1,"Crustacean"
84,"Algeria","Caramote prawn","SH",1997,0.1,"Crustacean"
84,"Algeria","Caramote prawn","SH",1998,0.1,"Crustacean"
84,"Algeria","Caramote prawn","SH",1999,0.1,"Crustacean"
84,"Algeria","Caramote prawn","SH",2000,0.1,"Crustacean"
84,"Algeria","Caramote prawn","SH",2001,0.1,"Crustacean"
84,"Algeria","Caramote prawn","SH",2002,0.1,"Crustacean"
84,"Algeria","Caramote prawn","SH",2003,0,"Crustacean"
84,"Algeria","Caramote prawn","SH",2004,0,"Crustacean"
84,"Algeria","Caramote prawn","SH",2005,0,"Crustacean"
84,"Algeria","Caramote prawn","SH",2006,0,"Crustacean"
84,"Algeria","Caramote prawn","SH",2007,0,"Crustacean"
84,"Algeria","Caramote prawn","SH",2008,0,"Crustacean"
84,"Algeria","Caramote prawn","SH",2009,0,"Crustacean"
84,"Algeria","Caramote prawn","SH",2010,0.08,"Crustacean"
84,"Algeria","Caramote prawn","SH",2011,0.14,"Crustacean"
84,"Algeria","Caramote prawn","SH",2012,0,"Crustacean"
84,"Algeria","Caramote prawn","SH",2013,0,"Crustacean"
84,"Algeria","Caramote prawn","SH",2014,0,"Crustacean"
84,"Algeria","Caramote prawn","SH",2015,0,"Crustacean"
84,"Algeria","Caramote prawn","SH",2016,0,"Crustacean"
84,"Algeria","Common sole","F",1990,1,"Fish"
84,"Algeria","Common sole","F",1991,1,"Fish"
84,"Algeria","Common sole","F",1992,0.1,"Fish"
84,"Algeria","Common sole","F",1993,1,"Fish"
84,"Algeria","Common sole","F",1994,1,"Fish"
84,"Algeria","Common sole","F",1995,0.1,"Fish"
84,"Algeria","Common sole","F",1996,0.1,"Fish"
84,"Algeria","Common sole","F",1997,0.1,"Fish"
84,"Algeria","Common sole","F",1998,0.1,"Fish"
84,"Algeria","Common sole","F",1999,0.1,"Fish"
84,"Algeria","Common sole","F",2000,0.1,"Fish"
84,"Algeria","Common sole","F",2001,0.1,"Fish"
84,"Algeria","Common sole","F",2002,0.1,"Fish"
84,"Algeria","Common sole","F",2003,0,"Fish"
84,"Algeria","Common sole","F",2004,0,"Fish"
84,"Algeria","Common sole","F",2005,0,"Fish"
84,"Algeria","Common sole","F",2006,0,"Fish"
84,"Algeria","Common sole","F",2007,0,"Fish"
84,"Algeria","Common sole","F",2008,0,"Fish"
84,"Algeria","Common sole","F",2009,0.84,"Fish"
84,"Algeria","Common sole","F",2010,0.08,"Fish"
84,"Algeria","Common sole","F",2011,0,"Fish"
84,"Algeria","Common sole","F",2012,0,"Fish"
84,"Algeria","Common sole","F",2013,0,"Fish"
84,"Algeria","Common sole","F",2014,0,"Fish"
84,"Algeria","Common sole","F",2015,0,"Fish"
84,"Algeria","Common sole","F",2016,0,"Fish"
84,"Algeria","European eel","F",1984,44,"Fish"
84,"Algeria","European eel","F",1985,34,"Fish"
84,"Algeria","European eel","F",1986,82,"Fish"
84,"Algeria","European eel","F",1987,69,"Fish"
84,"Algeria","European eel","F",1988,72,"Fish"
84,"Algeria","European eel","F",1989,53,"Fish"
84,"Algeria","European eel","F",1990,46,"Fish"
84,"Algeria","European eel","F",1991,22,"Fish"
84,"Algeria","European eel","F",1992,1,"Fish"
84,"Algeria","European eel","F",1993,0.1,"Fish"
84,"Algeria","European eel","F",1994,22,"Fish"
84,"Algeria","European eel","F",1995,20,"Fish"
84,"Algeria","European eel","F",1996,17,"Fish"
84,"Algeria","European eel","F",1997,17,"Fish"
84,"Algeria","European eel","F",1998,22,"Fish"
84,"Algeria","European eel","F",1999,15,"Fish"
84,"Algeria","European eel","F",2000,23,"Fish"
84,"Algeria","European eel","F",2001,32,"Fish"
84,"Algeria","European eel","F",2002,33,"Fish"
84,"Algeria","European eel","F",2003,16,"Fish"
84,"Algeria","European eel","F",2004,16,"Fish"
84,"Algeria","European eel","F",2005,15,"Fish"
84,"Algeria","European eel","F",2006,7,"Fish"
84,"Algeria","European eel","F",2007,15,"Fish"
84,"Algeria","European eel","F",2008,11.73,"Fish"
84,"Algeria","European eel","F",2009,14.2,"Fish"
84,"Algeria","European eel","F",2010,4.22,"Fish"
84,"Algeria","European eel","F",2011,0,"Fish"
84,"Algeria","European eel","F",2012,0.41,"Fish"
84,"Algeria","European eel","F",2013,0,"Fish"
84,"Algeria","European eel","F",2014,0,"Fish"
84,"Algeria","European eel","F",2015,0,"Fish"
84,"Algeria","European eel","F",2016,0,"Fish"
84,"Algeria","European seabass","F",1984,2,"Fish"
84,"Algeria","European seabass","F",1985,4,"Fish"
84,"Algeria","European seabass","F",1986,5,"Fish"
84,"Algeria","European seabass","F",1987,6,"Fish"
84,"Algeria","European seabass","F",1988,7,"Fish"
84,"Algeria","European seabass","F",1989,5,"Fish"
84,"Algeria","European seabass","F",1990,2,"Fish"
84,"Algeria","European seabass","F",1991,4,"Fish"
84,"Algeria","European seabass","F",1992,3,"Fish"
84,"Algeria","European seabass","F",1993,6,"Fish"
84,"Algeria","European seabass","F",1994,5,"Fish"
84,"Algeria","European seabass","F",1995,10,"Fish"
84,"Algeria","European seabass","F",1996,10,"Fish"
84,"Algeria","European seabass","F",1997,10,"Fish"
84,"Algeria","European seabass","F",1998,0.1,"Fish"
