"rgn_id","country","type","map_data","units","Taxon"
82,"1","prodTonnesAll",10144,"tonnes","Fish"
82,"1","prodTonnesAll",10144,"tonnes","Crustacean"
82,"1","prodTonnesAll",10144,"tonnes","Bivalve and Molluscs"
245,"10","prodTonnesAll",1,"tonnes","Bivalve and Molluscs"
208,"100","prodTonnesAll",94283,"tonnes","Crustacean"
208,"100","prodTonnesAll",94283,"tonnes","Fish"
208,"100","prodTonnesAll",94283,"tonnes","Bivalve and Molluscs"
188,"101","prodTonnesAll",21599,"tonnes","Bivalve and Molluscs"
188,"101","prodTonnesAll",21599,"tonnes","Fish"
7,"102","prodTonnesAll",1,"tonnes","Crustacean"
102,"103","prodTonnesAll",20452,"tonnes","Bivalve and Molluscs"
102,"103","prodTonnesAll",20452,"tonnes","Crustacean"
102,"103","prodTonnesAll",20452,"tonnes","Fish"
102,"103","prodTonnesAll",20452,"tonnes","Invertebrate"
102,"103","prodTonnesAll",20452,"tonnes","Seaweed"
20,"104","prodTonnesAll",136606,"tonnes","Bivalve and Molluscs"
20,"104","prodTonnesAll",136606,"tonnes","Invertebrate"
20,"104","prodTonnesAll",136606,"tonnes","Fish"
20,"104","prodTonnesAll",136606,"tonnes","Seaweed"
20,"104","prodTonnesAll",136606,"tonnes","Crustacean"
182,"105","prodTonnesAll",167372,"tonnes","Fish"
182,"105","prodTonnesAll",167372,"tonnes","Bivalve and Molluscs"
182,"105","prodTonnesAll",167372,"tonnes","Crustacean"
182,"105","prodTonnesAll",167372,"tonnes","Seaweed"
40,"106","prodTonnesAll",14382,"tonnes","Fish"
40,"106","prodTonnesAll",14382,"tonnes","Crustacean"
40,"106","prodTonnesAll",14382,"tonnes","Bivalve and Molluscs"
168,"107","prodTonnesAll",4424,"tonnes","Crustacean"
222,"108","prodTonnesAll",7175,"tonnes","Fish"
222,"108","prodTonnesAll",7175,"tonnes","Bivalve and Molluscs"
14,"109","prodTonnesAll",144067,"tonnes","Bivalve and Molluscs"
14,"109","prodTonnesAll",144067,"tonnes","Fish"
14,"109","prodTonnesAll",144067,"tonnes","Crustacean"
14,"109","prodTonnesAll",144067,"tonnes","Seaweed"
232,"11","prodTonnesAll",17241,"tonnes","Fish"
232,"11","prodTonnesAll",17241,"tonnes","Bivalve and Molluscs"
202,"110","prodTonnesAll",14296,"tonnes","Crustacean"
202,"110","prodTonnesAll",14296,"tonnes","Fish"
25,"111","prodTonnesAll",79541,"tonnes","Bivalve and Molluscs"
25,"111","prodTonnesAll",79541,"tonnes","Crustacean"
25,"111","prodTonnesAll",79541,"tonnes","Fish"
155,"112","prodTonnesAll",4532,"tonnes","Bivalve and Molluscs"
155,"112","prodTonnesAll",4532,"tonnes","Fish"
155,"112","prodTonnesAll",4532,"tonnes","Seaweed"
61,"113","prodTonnesAll",28171,"tonnes","Fish"
61,"113","prodTonnesAll",28171,"tonnes","Bivalve and Molluscs"
61,"113","prodTonnesAll",28171,"tonnes","Crustacean"
76,"114","prodTonnesAll",34789,"tonnes","Fish"
76,"114","prodTonnesAll",34789,"tonnes","Bivalve and Molluscs"
76,"114","prodTonnesAll",34789,"tonnes","Crustacean"
111,"115","prodTonnesAll",12,"tonnes","Crustacean"
111,"115","prodTonnesAll",12,"tonnes","Bivalve and Molluscs"
19,"116","prodTonnesAll",3774,"tonnes","Fish"
75,"117","prodTonnesAll",7,"tonnes","Crustacean"
75,"117","prodTonnesAll",7,"tonnes","Fish"
