country,description,source
New Caledonia,"The blue prawn (L.stylirostris) was introduced between 1978 and 1981. It was identified as the best candidate for aquaculture after trials with local and imported prawns. Since then, the same strain was used for commercial production untill 2004. In 2004 pathogen free broodstock was introduced from hawaii to renew the genetic variability of New Caledonian prawns.",http://aquaculture.spc.int/index.php?option=com_countries&view=country&id=11&Itemid=49
Chile,"Aquaculture is a major economic activity in Chile. Among the diverse aquacultures practised in Chile, Atlantic salmon aquaculture is overwhelmingly the largest sector. ",https://en.wikipedia.org/wiki/Aquaculture_in_Chile
