"country","goal","metric","subtitle","description"
"Global","MAR","21.9%","Global Mariculture Score","Healthy oceans maximize the marine cultivation potential and minimize impacts to the ecosystem."
"China","MAR","68%","Largest Share of Production","contributes the largest historic share by tonnes of mariculture produced for human consumption"
"Chile","MAR","78 tonnes","Seafood per Capita","produces the most seafood per capita"
